output,id
WAKEUP,"49341093070528608, 49341114576350432, 49341314188955320, 49341442088967000, 52656993291516848, 52657001655619400, 52657117963938720, 52657638595401968, 52657712143442664, 52658228744452424, 52658514548176112, 52658766034146512, 52658807473872392, 52658814366567680, 52658816693904136, 52658857450686216, 52659263961165232, 52659299565475760, 52659480796841320, 52659505930987784, 52659676246354472, 52659704100428776, 52659768384142200, 52659929601972232, 52660033445997280, 52660233519369672, 52660377639561768, 52660923213949528, 52661113811159200, 52661306217779224, 52661324424000536, 52661442982125752, 52661488894652472, 52661551416143528, 52661592778050792, 52661670353148368, 52661763914697008, 52661769215864616, 52661976096718984, 52662018166320096, 52662098636698736, 52662103523666216, 52662140090402648, 52662259412373352, 52662468758690336, 52662611605436992, 52662953059280248, 52663026213420640, 52663522008403776, 52663648841913864, 52663705433703680, 52663712011830176, 52663888971152432, 52664037261956328, 52664044821380336, 52664059363461632, 52664179688972944, 52664435095334848, 52664668764514248, 52664694438922296, 52664821941330336, 52664980401001520, 52665188654081360, 52665406694794136, 52665485533912000, 52665826664477864, 52666143299861808, 52666485693961272, 52666516876395328, 52667323742911304, 52667433280132448, 52667662285788472, 52667699330981304, 52667964865054464, 52668014684899920, 52668081732267912, 52668132459299512, 52668196995529104, 52668391979785472, 52668555592514640, 52668684372331136, 52668913690906296, 52668975431908312, 52668981292356256, 52669067605714336, 52669097985316400, 52669111606193416, 52669112373761680, 52669156339428048, 52669427523761808, 52669448295765000, 52669467117829760, 52669503186234872, 52669556537931088, 52669572764573320, 52669575247795272, 52669578617165568, 52669593419736072, 52669595620958448, 52669624222640280, 52669632268146144, 52669662478172024, 52669715360217544, 52669715681000816, 52669729571943480, 52669791600219304, 52669814016177984, 52669816748685808, 52669957846960984, 52670094697626952, 52670154074972480, 52670265003901920, 52670841342487064, 52670995242776296, 52671035789826456, 52671124116914848, 52671129339522464, 52671150600027840, 52671284014496368, 52671476737499400, 52671609922779544, 52671721266541456, 52671780506634880, 52671806814907720, 52671810237341360, 52671816836962000, 52672005554134840, 52672021405436424, 52672063600433952, 52672083413667248, 52672182337529600, 52672221251341352, 52672239361527800, 52672337892651488, 52672676458735856, 52672677013359160, 52672713576364048, 52672723073661648, 52672762294068280, 52672828297996368, 52673395283766568, 52674451149568264, 52674473011507008, 52674524375391016, 52674538946671960, 52674560783172392, 52674644210584480, 52674659725883064, 52674675849104640, 52674695068639448, 52674714251848488, 52674875102481888, 52674875248965544, 52674963027870216, 52675128206331240, 52675132214773808, 52675166177763600, 52675207935763712, 52675214240980072, 52675243172861176, 52675277287699952, 52675300637643832, 52675430632028904, 52675451933586752, 52675494098490112, 52675518148909136, 52675552919113400, 52675651274564592, 52675864171081912, 52675888451929736, 52675909101057672, 52676006512388096, 52676227450070768, 52676302530256280, 52676328697503864, 52676361245213728, 52676464742715296, 52676511956975184, 52676551148683728, 52676668042018752, 55979967996553656, 55980104242650416, 55980152558563064, 55980372334742176, 55981618845015136, 55982484990682232, 55982912986966256, 55983588141901288, 55983628210966960, 55983847932144120, 55984004231207688, 55984033196942016, 55984383134712936, 55984636344842240, 55984991177955976, 55985024562366224, 55985597007407912, 55985870928889000, 55988001518753560, 55988079460858640, 55988356800839016, 55989025683307672, 55989128788408504, 55990609818881664, 55991269328789520, 55991683219077416, 55991697133728520, 55992755559559112, 55993228363942688, 55994179953001872, 55996567624659024, 55996971061629736, 55997383445885088, 55997933118408208"

AOZM,NaN 
APIG,55986337711861488
ASTV,NaN
AWDS,NaN
B2W,"52668365853052488, 55964417789890360, 55970321545777824, 55979585815994640, 55979921095755384, 55980587885093520, 55982028299967072, 55983539896378800, 55986061192595040, 55986712970237960, 55986714071600960, 55987553290387568, 55988017031877048, 55988688200541224, 55991573185622112, 55991919592264040, 55992941301976200, 55993550274681368, 55993891907906976, 55993987335519320, 55996251028107808, 55996281007572232, 55996699641208488, 55997622845569080, 55997976209605680"
BCENG,NaN
BCVA,NaN
CBC,55991337317761480
